,Artist,betweeness,working year,updated_1,norm_influ_index,updated_2,norm_updated_2
0,The Beatles,0.040782492999999996,0.8939754695853153,1.0,0.6994834431778917,8.85292721730965,1.0
1,Bob Dylan,0.020560254,0.915159836198202,0.5159368820559664,0.43721403965968897,4.325102989881714,0.48855713344099283
2,The Rolling Stones,0.016666667,0.9104635300947194,0.4160238550855356,0.3028610539793817,3.3347886568588434,0.37669563532727235
3,Jimi Hendrix,0.013737015,0.8455278630601147,0.31836513614458195,0.24223488108265306,2.480858073019063,0.28023943833185244
7,The Velvet Underground,0.012438153,0.9063057811992588,0.3089745324905597,0.19904244998061807,2.3470024385094495,0.26511970179173494
11,Miles Davis,0.010537408,1.0213820014356223,0.2949801943498327,0.20597706243863254,2.2508020988777004,0.2542533397171716
8,The Beach Boys,0.011636637,0.9475961917904951,0.3022267253423552,0.158058800300006,2.2260667249436943,0.2514593420010979
4,Led Zeppelin,0.012869788,0.8554835253826,0.30176190477150217,0.14646679765284296,2.1996583577766846,0.24847637041769996
5,David Bowie,0.012781955,0.8257270548885586,0.2892646886227304,0.1901467513011368,2.1840586790354823,0.2467143001578895
6,Hank Williams,0.012707182,0.7607606903719867,0.26492023083588323,0.3617446394820063,2.1706301740949456,0.24519747602439365
9,The Kinks,0.010917776,0.9278847943835912,0.2776322313271834,0.2024770998772928,2.113673003510159,0.23876384761220565
13,Elvis Presley,0.009636595999999999,0.9504283393106384,0.2509758414476837,0.2760556557558843,1.9885286722657105,0.22462810110562606
22,Chuck Berry,0.00840825,0.98611187298087,0.2271763599592623,0.35050849132417944,1.85420664048798,0.20945568240653337
20,Sam Cooke,0.008515168,0.9729655220034468,0.22699773661944986,0.24655983075659077,1.7728954022076997,0.2002711269333735
10,Black Sabbath,0.010790005,0.8387917684894294,0.2480036716549894,0.1193584396669805,1.7570356195369166,0.1984796764916774
14,Marvin Gaye,0.009388889000000001,0.8899006739222411,0.2289242009452297,0.15062927140916682,1.6751314943200968,0.18922815114973768
44,Billie Holiday,0.0054780359999999995,1.1785663382346003,0.17682246845535826,1.0,1.6285951198868713,0.18397160947676017
21,The Byrds,0.008462775,0.9481576627319926,0.21983884310134655,0.13626825824309102,1.586623211798119,0.17923064960074997
15,Stevie Wonder,0.009294181,0.8560874059109508,0.2179892057168755,0.1131643533865617,1.5327750363213013,0.17314819943450743
12,Neil Young,0.009898341,0.8326229926045284,0.2258075530904707,0.0737346521992068,1.4910203610390746,0.16843177720918764
17,Sex Pistols,0.008758372,0.8342656033029034,0.20015993321929154,0.15492009545280053,1.4702737013494616,0.1660883268961424
25,The Who,0.00774026,0.915835723622612,0.1941785872962961,0.17286401542053814,1.4476189104593835,0.1635293425778182
32,Ray Charles,0.006392849,1.0033717253632388,0.17567491330081153,0.32597424859082713,1.421105254861642,0.16053447808203583
16,The Clash,0.00923913,0.8087731076565237,0.20470218794905498,0.1015262811384883,1.4171333471366903,0.1600858290686197
31,Muddy Waters,0.006611667,0.9404416819936868,0.17028305920043108,0.40196899388835555,1.413172305327151,0.1596384074206328
18,Pink Floyd,0.008654842,0.8167986306764677,0.19364236909878,0.14119884306150624,1.4044405105048186,0.15865210275202696
24,James Brown,0.00775428,0.8283648198572645,0.1759209920938376,0.2691080565996708,1.3893708831331781,0.15694990473509862
27,The Yardbirds,0.0071331519999999985,0.9377148460307236,0.18320526945981344,0.1433065746998625,1.3314573596988057,0.1504082509627672
30,Buddy Holly,0.006698895,0.9657845963627292,0.1771917934688562,0.16140766215383331,1.3088304287487147,0.14785241357922965
26,The Stooges,0.007293763000000002,0.9147130532364516,0.18273438504187692,0.1203415421999867,1.2961201876077462,0.14641672132677536
28,Johnny Cash,0.007038713,0.9298718471198124,0.17926086734091012,0.09780857809712586,1.2343181579242133,0.13943583920042432
34,John Coltrane,0.00603272,0.9998628899793724,0.1651799072551925,0.17091458878942523,1.2295577767107608,0.13889812773208296
23,Joni Mitchell,0.007825148,0.8738583798403474,0.1872991258264703,0.06414629801797296,1.2106550006725296,0.13676295430720653
40,Little Richard,0.005673027,0.9776086496662124,0.15184840927882842,0.2839116602321053,1.2073843950885148,0.13639352126138737
47,Charlie Parker,0.005268996,1.0494545836553826,0.15139766493648926,0.20251662873239484,1.1526520561465494,0.13021119992647565
29,Brian Eno,0.006955178,0.8214630088841763,0.1564419659702743,0.12244823111075032,1.1123451540504021,0.12565831171467393
52,Howlin' Wolf,0.005030488,0.9732352570888044,0.1340101049939031,0.2585057920247397,1.052984827880746,0.11895323354662578
35,Cream,0.005983693000000001,0.8672446610765114,0.14206228593440093,0.1080385889214914,0.9923155175138924,0.11210029835134591
42,Otis Redding,0.005629478,0.9213290677750718,0.14198754472455474,0.10389080814488173,0.9862349102679168,0.11141346002810389
61,Ella Fitzgerald,0.00457122,1.0237306573397895,0.12807956319363747,0.18879793576337336,0.9661377549362264,0.10914337483569346
33,Deep Purple,0.006168831,0.8602016045680759,0.14527551724598414,0.0746304499946854,0.961016969017363,0.10856495365637435
57,Frank Sinatra,0.004839149,1.0039351115475148,0.1329769134828124,0.13614569035424937,0.9596027180277471,0.10840520616092576
75,Nat King Cole,0.004220779,0.9819082653855632,0.11339300902626348,0.404770234169222,0.941831523905232,0.10639785119137148
37,Kraftwerk,0.005772314000000001,0.8242475399069562,0.13022288478172364,0.11411958665481965,0.9167472310684599,0.1035644411494512
48,Aretha Franklin,0.00523416,0.9166456360985016,0.13132186004114169,0.0926326679141923,0.897089430446062,0.10134398350896638
39,Roxy Music,0.005700055,0.8362773258560255,0.13047012455921406,0.09046398410837649,0.8881801871327458,0.10033763504883138
86,Bill Monroe,0.003893875,1.0954852774729713,0.11672017114267336,0.188626264884261,0.8803446998152298,0.09945257328554963
91,Dizzy Gillespie,0.003734313,1.0643570652690122,0.10873486042642884,0.2992646865124333,0.8703044188060438,0.09831846784274338
53,Smokey Robinson,0.004969826,0.8499617711800284,0.11558096435813213,0.1424548558435265,0.8393039144953596,0.09481678889209257
51,Curtis Mayfield,0.005038653,0.8894865707435973,0.12265019758583115,0.0792323860345901,0.8186864167071616,0.09248792813239387
43,Merle Haggard,0.005537099,0.7982876446715352,0.12095961880529232,0.07246821214126034,0.7966077659924918,0.08999402204326985
46,The Band,0.005372116999999999,0.830864061820559,0.12214768032869487,0.06752264996287843,0.7957980235883437,0.08990255714632372
82,John Lee Hooker,0.004011387,0.9659415243576098,0.1059945180551842,0.1425277519815924,0.7697451028447786,0.08695973520844724
41,Black Flag,0.005640465999999999,0.7652986738035656,0.11811832377389228,0.06606586472256996,0.7669703042941061,0.08664630631774892
92,Bo Diddley,0.003715135,0.9964047755966984,0.10124825081687464,0.16898298332080436,0.7525157895352318,0.08501358868303685
49,George Jones,0.005219631,0.8383093637681823,0.11973778370796592,0.04498722123116231,0.7314737586000364,0.08263677454910281
67,Sly & the Family Stone,0.004364252,0.9001071541855383,0.1074632049533486,0.08278012447835538,0.7220208888576082,0.08156902046779593
164,Lester Young,0.002564103,1.0760464889014676,0.07538370144871777,0.8899183949062873,0.6855178860961476,0.07744580378963042
56,Kiss,0.004844856,0.8166615394379481,0.10824003546440228,0.051408527333354895,0.6756764233165452,0.0763341559688861
