,Artist,norm_updated_2
0,The Beatles,0.001215066828675577
1,Bob Dylan,0.0004473966423452315
2,The Rolling Stones,0.0003639571355819056
3,Jimi Hendrix,0.0013095300856628617
4,The Velvet Underground,0.0014978514225521746
5,Miles Davis,0.0002942746987467264
6,The Beach Boys,0.0002529772052324928
7,Led Zeppelin,0.0003675685952924555
8,David Bowie,0.0005531710765871962
9,Hank Williams,0.0013546821879800751
10,The Kinks,0.0005401897004801031
11,Elvis Presley,0.00022689707182386464
12,Chuck Berry,0.0009564186411257229
13,Sam Cooke,0.0005070155112237304
14,Black Sabbath,0.0009021803476894427
15,Marvin Gaye,0.0003491294301655675
16,Billie Holiday,0.00016801060226188138
17,The Byrds,0.000684086448857824
18,Stevie Wonder,0.00031887329545949797
19,Neil Young,0.0005728972013917946
20,Sex Pistols,0.0043707454446353265
21,The Who,0.0003156937115401896
22,Ray Charles,0.0008067059200102301
23,The Clash,0.0006110146147657241
24,Muddy Waters,0.0008271420073607917
25,Pink Floyd,0.00038321763949764954
26,James Brown,0.0007618927414325174
27,The Yardbirds,0.0017905744162234189
28,Buddy Holly,0.0012969509963090316
29,The Stooges,0.0018771374529073757
30,Johnny Cash,0.00012630057898589157
31,John Coltrane,0.0002745022287195314
32,Joni Mitchell,0.0005946215404661153
33,Little Richard,0.0006958853125580985
34,Charlie Parker,0.000651055999632378
35,Brian Eno,0.0005487262520291437
36,Howlin' Wolf,0.0011437810917944778
37,Cream,0.001475003925675604
38,Otis Redding,0.00034386870379044383
39,Ella Fitzgerald,0.00012646972750370036
40,Deep Purple,0.000743595572988865
41,Frank Sinatra,7.918568748058852e-05
42,Nat King Cole,0.0002822224169532398
43,Kraftwerk,0.0011768686494255819
44,Aretha Franklin,0.00023351148273955367
45,Roxy Music,0.0008801546934108009
46,Bill Monroe,0.00621578583034685
47,Dizzy Gillespie,0.0004062746605072037
48,Smokey Robinson,0.0016070642185100424
49,Curtis Mayfield,0.0005195951018673809
50,Merle Haggard,0.0004812514547768438
51,The Band,0.00042607846988779
